#KEY	ui32	00 00 07 3a
MSXS	ch8*	01 02 03 04
MSXT	ui32	ff ff ff ff
MSXU	hex_	00 00
MSXZ	flt 	00 00 00 00
MSXb	ui8 	00
MSXc	ui32	00 00 00 00
MSXd	ch8*	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
MSXh	ch8*	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
MSXk	ch8*	01 02 03 04 05 06 07 08 09 0a 0b 0c 0d 0e 0f 10 11 12 13 14 15 16 17 18 19 1a 1b 1c 1d 1e 1f 20
MSXl	ch8*	28 6b 6e 4e 28 6b 6e 4e 28 6b 6e 4e 28 6b 6e 4e
MSXm	ui16	00 08
MSXn	ui8 	3c
MSXs	ui32	01 02 03 04
MSXt	ch8*	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
MSxb	hex_	03 19
MSxd	hex_	03 19 00 00 1c 30 00 00 00 00 a5 fe c3 66 8f 40 00 00 00 3c dd 98 ab 40 00 00 80 bc 76 3a c1 40
MSxs	hex_	03 1c 00 00 43 30 00 00 00 40 1b 73 ee 80 a6 40
MpPC	ui16	00 00
MpPD	ui16	00 00
MpPI	ui8 	00
MpPM	ui8 	00
MpPN	ui8 	00
MpPO	ui8 	00
MpPP	ui8 	00
MpPS	ui8 	00
MpPU	ui8 	00
MpPV	ui8 	00
N0Tr	ui8 	00
N0Tw	ui8 	00
NESN	hex_	00 00 00 00
NTAP	flag	01
Ns0T	ui8 	07
NsNL	ui8 	01
PBLR	flt 	00 00 00 00
PBat	flt 	00 00 00 00
PDTR	flt 	ee 67 db 3d
PHPB	flt 	00 00 7f 43
PHPC	flt 	7f 66 2d 41
PHPM	flt 	cd cc 4c 3f
PHPS	flt 	b8 9c 0d 41
PIDR	flt 	b7 0f 7c 3a
PKBC	flt 	00 00 00 00
PMVC	flt 	db 75 2c 41
PO3R	flt 	00 00 00 00
PO5R	flt 	00 00 00 00
PP0b	flt 	24 b8 79 40
PP1b	flt 	13 a3 15 3e
PP2b	flt 	cc 40 fa 3e
PP2l	flt 	00 00 00 00
PP3b	flt 	00 00 00 00
PP4b	flt 	fc 6f 0f 3f
PP7b	flt 	b0 6a 4d 3f
PP7l	flt 	85 92 35 3c
PP8l	flt 	8c a0 14 3e
PP9b	flt 	ce 52 17 3f
PP9l	flt 	00 19 67 38
PPBR	flt 	e7 85 46 41
PPbb	flt 	06 f5 85 3f
PPdb	flt 	00 00 00 00
PPkl	flt 	00 00 00 00
PR4l	flt 	30 2f d2 3b
PR5b	flt 	a9 19 5d 3c
PR6b	flt 	00 00 00 00
PR8b	flt 	b9 49 ae 3c
PRab	flt 	00 00 00 00
PRcb	flt 	00 00 00 00
PRcl	flt 	a2 50 55 3d
PReb	flt 	00 00 00 00
PSTR	flt 	d2 98 31 41
PW3C	flt 	00 00 00 00
PZC0	flt 	9d 76 0d 41
PZC1	flt 	30 4d 03 41
PZCB	flt 	00 00 00 00
PZCU	flt 	42 6b a8 3c
PZD1	flt 	4a 9e a4 3f
Pb0f	flt 	50 de 46 41
RBID	ui32	00 00 00 30
RBRV	ui32	00 00 00 07
RCID	ui32	00 00 81 22
RCRV	ui32	00 00 00 20
RECI	ui64	00 1e 25 e0 26 f1 00 1c
RESV	ch8*	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
RGEN	ui8 	04
RPF0	ui8 	00
RPlt	ch8*	6a 36 31 33 00 00 00 00
RUID		
RVER		
SBA1	flt 	a0 1a 83 40
SBA2	flt 	17 d9 82 40
SBA3	flt 	21 b0 82 40
SBAA	flt 	00 00 80 3f
SBAC	flt 	42 60 65 3f
SBAL	flt 	00 00 00 00
SBAP	flt 	6e e3 2f 41
SBAR	flt 	00 20 51 45
SBAS	flt 	00 00 9a 42
SBAV	flt 	d3 4d 44 41
SBAm	flt 	00 00 80 3f
SBAn	flt 	00 00 d4 42
SDMX	flt 	00 00 80 40
SDMd	flt 	00 00 80 41
SDMn	flt 	00 00 00 41
SDMs	flt 	00 00 80 41
SDMv	flt 	00 00 7f 43
SDTo	flt 	00 00 00 00
SDTp	flt 	00 00 00 00
SEB0	hex_	00 00 00 00
SEB1	hex_	00 00 00 00
SEB2	hex_	00 00 00 00
SEB3	hex_	00 00 00 00
SEB4	hex_	00 00 00 00
SEB5	hex_	00 00 00 00
SEB6	hex_	00 00 00 00
SEC0	hex_	00 00 00 00
SEC1	hex_	00 00 00 00
SEF0	hex_	00 00 00 00
SEF1	hex_	00 00 00 00
SES0	hex_	00 00 00 00
SES1	hex_	00 00 00 00
SES2	hex_	00 00 00 00
SES3	hex_	00 00 00 00
SES4	hex_	00 00 00 00
SES5	hex_	00 00 00 00
SES6	hex_	00 00 00 00
SEb0	hex_	00 00 00 00
SEb1	hex_	00 00 00 00
SEb2	hex_	00 00 00 00
SEb3	hex_	00 00 00 00
SEb4	hex_	00 00 00 00
SEb5	hex_	00 00 00 00
SEb6	hex_	00 00 00 00
SEc0	hex_	00 00 00 00
SEc1	hex_	00 00 00 00
SEf0	hex_	00 00 00 00
SEf1	hex_	00 00 00 00
SEs0	hex_	00 00 00 00
SEs1	hex_	00 00 00 00
SEs2	hex_	00 00 00 00
SEs3	hex_	00 00 00 00
SEs4	hex_	00 00 00 00
SEs5	hex_	00 00 00 00
SEs6	hex_	00 00 40 00
SFBN	hex_	00 00 00 00
SFBS	hex_	00 00 00 00
SFF0	hex_	00 00 00 00
SFF1	hex_	00 00 00 00
SFF2	hex_	00 00 00 00
SFF3	hex_	00 00 00 00
SFF4	hex_	00 00 00 00
SFF5	hex_	00 00 00 00
SFI0	hex_	00 00 00 00
SMB0	hex_	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
SMB1	hex_	c5 cd 30 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
SMB2	hex_	64 f4 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
SMB3	hex_	64 f4 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
SMB4	hex_	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
SMB5	hex_	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
SMB6	hex_	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
SMBC	hex_	00 00 00 00 00 00
SMBD		
SMBE		
SMBG	ui8 	00
SMBR		
SMBS	hex_	00 00
SMBU		
SMBV		
SMBW	hex_	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
SSMH		
T5SP	flt 	a0 75 11 42
TAOL	flt 	00 00 dd 41
TB0T	flt 	30 33 01 42
TB1T	flt 	30 33 ff 41
TB2T	flt 	30 33 01 42
TCHP	flt 	ac 39 15 42
TCMb	flt 	8a f7 87 42
TCMz	flt 	00 f0 a2 42
TDBP	flt 	00 00 00 42
TDeL	flt 	00 00 f5 41
TG0B	ioft	cc 4c 20 00 00 00 00 00
TG0C	ioft	00 00 1f 00 00 00 00 00
TG0H	ioft	00 00 20 00 00 00 00 00
TG0V	ioft	cc 4c 20 00 00 00 00 00
TG1B	ioft	66 e6 1f 00 00 00 00 00
TG2B	ioft	cc 4c 20 00 00 00 00 00
TH0T	flt 	c8 85 1e 42
TH0x	flt 	c8 85 1e 42
TIOP	flt 	e0 60 0e 42
TMVR	flt 	ec 95 1b 42
TPD0	flt 	50 e3 55 42
TPD1	flt 	78 74 48 42
TPD2	flt 	68 e3 48 42
TPD3	flt 	44 c1 49 42
TPD4	flt 	a4 a7 4d 42
TPD5	flt 	54 52 49 42
TPD6	flt 	30 30 4a 42
TPD7	flt 	0c 0e 4b 42
TPDX	flt 	50 e3 55 42
TPMP	flt 	f8 a6 25 42
TPSP	flt 	ec cd 23 42
TR0Z	ioft	9a d9 33 00 00 00 00 00
TR1d	ioft	bb 7c fe ff ff ff ff ff
TR2d	ioft	fc 9d 27 00 00 00 00 00
TR3d	ioft	bb 7c fe ff ff ff ff ff
TR4d	ioft	f5 26 2b 00 00 00 00 00
TR5d	ioft	2d 04 29 00 00 00 00 00
TRD0	flt 	34 9f 3d 42
TRD1	flt 	88 63 35 42
TRD2	flt 	58 c1 3c 42
TRD3	flt 	e8 49 39 42
TRD4	flt 	64 41 36 42
TRD5	flt 	48 30 3d 42
TRD6	flt 	b0 96 3a 42
TRD7	flt 	10 7d 3e 42
TRDX	flt 	10 7d 3e 42
TSCD	flt 	b4 90 2b 42
TVA0	flt 	01 21 f2 41
TVD0	flt 	8a f7 87 42
TVMD	flt 	00 00 00 00
TVS0	flt 	c0 6e 0f 42
TVS1	flt 	36 e9 0c 42
TVSi	si32	00 00 00 00
TVSx	flt 	c0 6e 0f 42
TVs1	flt 	36 e9 0c 42
TW0P	flt 	70 7a 20 42
Ta04	flt 	00 00 00 00
Ta05	flt 	66 66 66 c0
Ta08	flt 	00 00 00 00
Ta09	flt 	66 66 66 c0
Te04	flt 	5c f1 57 42
Te05	flt 	8f 24 6f 42
Te06	flt 	00 a0 80 42
Te0K	flt 	3d e4 5b 42
Te0L	flt 	a3 4a 72 42
Te0M	flt 	00 20 88 42
Te0O	flt 	8f 92 6e 42
Te0P	flt 	81 f5 83 42
Tg0C	flt 	51 ef 45 42
Tg0D	flt 	eb 88 57 42
Tg0O	flt 	f6 e0 4a 42
Tg0P	flt 	90 7a 5c 42
Tg0W	flt 	6d ca 41 42
Tg0X	flt 	07 64 53 42
Tg0a	flt 	b5 5a 44 42
Tg0b	flt 	4f f4 55 42
Tg0i	flt 	5c f0 4e 42
Tg0j	flt 	f6 89 60 42
Tg0u	flt 	24 78 4b 42
Tg0v	flt 	be 11 5d 42
Th00	flt 	85 5d 44 42
Th01	flt 	85 5d 44 42
Th02	flt 	00 70 47 42
Th08	flt 	66 02 55 42
Th09	flt 	66 02 55 42
Th0A	flt 	00 f0 5a 42
Tm0B	flt 	c0 69 22 42
Tp00	flt 	e8 19 73 42
Tp01	flt 	f4 8c 86 42
Tp02	flt 	00 a8 9d 42
Tp04	flt 	14 ef 75 42
Tp05	flt 	8a f7 87 42
Tp06	flt 	00 88 a2 42
Tp08	flt 	0c 2d 6b 42
Tp09	flt 	86 96 82 42
Tp0A	flt 	00 d8 92 42
Tp0C	flt 	b5 08 6e 42
Tp0D	flt 	5a 04 84 42
Tp0E	flt 	00 b8 95 42
Tp0G	flt 	9e fe 6c 42
Tp0H	flt 	4f 7f 83 42
Tp0I	flt 	00 50 9c 42
Tp0K	flt 	a8 fb 6c 42
Tp0L	flt 	d4 7d 83 42
Tp0M	flt 	00 b8 a1 42
Tp0O	flt 	c1 e9 67 42
Tp0P	flt 	e0 f4 80 42
Tp0Q	flt 	00 40 92 42
Tp0S	flt 	3f 77 68 42
Tp0T	flt 	a0 3b 81 42
Tp0U	flt 	00 10 94 42
Tp0W	flt 	08 af 65 42
Tp0X	flt 	08 af 7f 42
Tp0Y	flt 	00 18 9a 42
Tp0a	flt 	21 00 67 42
Tp0b	flt 	10 80 80 42
Tp0c	flt 	00 10 9d 42
Tp0e	flt 	9e 95 5e 42
Tp0f	flt 	9e 95 78 42
Tp0g	flt 	00 00 8d 42
Tp0i	flt 	09 6a 61 42
Tp0j	flt 	09 6a 7b 42
Tp0k	flt 	00 20 91 42
Tp0m	flt 	0a 4a 5d 42
Tp0n	flt 	0a 4a 77 42
Tp0o	flt 	00 c8 9e 42
Tp0q	flt 	17 9f 5d 42
Tp0r	flt 	17 9f 77 42
Tp0s	flt 	00 f0 a2 42
Tp0u	flt 	08 89 5a 42
Tp0v	flt 	08 89 74 42
Tp0w	flt 	00 f8 90 42
Tp0y	flt 	2b e2 5c 42
Tp0z	flt 	2b e2 76 42
Tp10	flt 	00 20 96 42
Tp12	flt 	d7 9f 58 42
Tp13	flt 	a4 6c 79 42
Tp14	flt 	00 78 90 42
Tp16	flt 	c0 f7 58 42
Tp17	flt 	8d c4 79 42
Tp18	flt 	00 b0 8f 42
Tp1E	flt 	7e 00 83 42
Tp1F	flt 	00 88 a2 42
Tp1H	flt 	e8 fa 68 42
Tp1I	flt 	00 78 90 42
Tp1K	flt 	8f 06 77 42
Tp1L	flt 	00 f0 a2 42
Ts0G	flt 	c3 77 55 42
Ts0H	flt 	c3 77 55 42
Ts0I	flt 	00 50 5b 42
Ts0K	flt 	c3 2b 61 42
Ts0L	flt 	c3 2b 61 42
Ts0M	flt 	00 a0 75 42
Ts0P	flt 	00 80 fb 41
Ts0S	flt 	b8 4e 45 42
Ts0T	flt 	b8 4e 45 42
Ts0U	flt 	00 d0 48 42
Ts0W	flt 	c3 2b 61 42
Ts0X	flt 	00 a0 75 42
Ts1P	flt 	00 00 f4 41
Tz11	flt 	00 00 00 00
Tz12	flt 	00 00 00 00
Tz13	flt 	00 00 00 00
Tz14	flt 	00 00 00 00
Tz15	flt 	00 00 00 00
Tz16	flt 	00 00 00 00
Tz17	flt 	00 00 00 00
Tz18	flt 	00 00 00 00
Tz1j	flt 	00 00 00 00
U1B0	hex_	00 00 00 00 00 00 00 00 00 00 00 00
U1D0	ui16	00 00
U1N0	ui32	00 00 00 00
U1R0	ui16	00 00
U1S0	ui8 	00
U1bs	ui8 	00
U2B0	hex_	00 00 00 00 00 00 00 00 00 00 00 00
U2D0	ui16	00 00
U2N0	ui32	00 00 00 00
U2R0	ui16	00 00
U2S0	ui8 	00
U2bs	ui8 	00
U3B0	hex_	00 00 00 00 00 00 00 00 00 00 00 00
U3D0	ui16	00 00
U3N0	ui32	00 00 00 00
U3R0	ui16	00 00
U3S0	ui8 	00
U3bs	ui8 	00
UB0C	ui8 	00
UB0T	ui64	00 00 00 00 00 00 00 00
UBAC	si16	00 00
UBAT	si16	00 00
UBAV	si16	00 00
UBCR	hex_	01
UBD0	ui16	00 00
UBDD	si16	00 00
UBFC	si16	00 00
UBHR	hex_	01
UBID	si16	00 00
UBIS	si16	00 00
UBNC	ui16	00 00
UBPC	si16	00 00
UBPF	si16	00 00
UBPI	si16	00 00
UBPN	ui16	00 00
UBPR	si16	00 00
UBPV	si16	00 00
UBRM	si16	00 00
UBRS	si16	00 00
UBSS	ui16	00 00
UBUI	ui8 	00
UCFG	hex_	14 04
UPOC	ui16	00 00
UPOF	hex_	00
UPOR	flag	00
UPOS	ui8 	00
UPOT	ui8 	00
UQF0	ui8 	00
UQG0	si16	00 00
UQH0	ui8 	00
UQI0	si16	00 00
UQJ0	si16	00 00
UQK0	ui16	00 00
UQL0	ui16	00 00
UQM0	si16	00 00
UQN0	si16	00 00
UQO0	si16	00 00
UQP0	si16	00 00
UQQ0	si16	00 00
UQR0	si16	00 00
UQS0	ui16	00 00
UQT0	ui16	00 00
UQU0	si16	00 00
UQV0	si16	00 00
UQW0	si16	00 00
UQX0	si16	00 00
UQY0	si16	00 00
UQd0	hex_	00
UQe0	hex_	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
VBUS	ui32	01 00 00 00
VD0R	flt 	ff 6f 9f 41
VMVC	flt 	89 c7 71 40
VP0R	flt 	d7 ee 44 41
VP0b	flt 	e5 28 82 3f
VP1b	flt 	48 f8 4f 3e
VP2b	flt 	b3 7e 51 3f
VP2l	flt 	00 a1 e6 3f
VP3b	flt 	74 5a 0a 3f
VP4b	flt 	80 fb 83 3f
VP7b	flt 	00 bb 8b 3f
VP7l	flt 	c0 48 53 40
VP8l	flt 	00 79 9a 3f
VP9b	flt 	00 d0 63 3f
VP9l	flt 	00 19 e7 3f
VPbb	flt 	00 be 72 3f
VPdb	flt 	80 0f a0 3f
VPkl	flt 	80 cd 9a 3f
VR4l	flt 	00 25 3f 3f
VR5b	flt 	95 10 4b 3f
VR6b	flt 	ae 00 47 3f
VR8b	flt 	00 92 1e 3f
VRab	flt 	d3 e0 0d 3f
VRcb	flt 	8c 4c 61 3f
VRcl	flt 	00 12 4e 3f
VReb	flt 	80 0e 90 3f
Vb0f	flt 	47 f0 44 41
Vb1f	flt 	bb e1 44 41
WKTP	ui8 	00
YBj0		
YBv0	ui32	01 00 00 00
YCg0	hex_	00 00 00 00 00 00 00 00 00
YUx0	ui8 	1c
YVa0	ui8 	00
aBID	ui32	1a 00 00 00
aDC!	ui32	00 00 00 00
aDC#	ui32	75 00 00 00
aDC?	ui32	00 00 00 00
aDCR	ioft	00 00 00 00 00 00 00 00
aP00	ui32	00 00 00 00
aP01	ui32	19 0c 00 00
aP02	ui32	63 06 00 00
aP58	ui32	11 00 00 00
aP59	ui32	03 00 00 00
aP5a	ui32	02 00 00 00
aP5b	ui32	05 00 00 00
aP5c	ui32	02 00 00 00
aP5d	ui32	02 00 00 00
aP5e	ui32	02 00 00 00
aP70	ui32	e2 0c 00 00
aP71	ui32	00 00 00 00
aP72	ui32	00 00 00 00
aP73	ui32	00 00 00 00
aP74	ui32	00 00 00 00
aP75	ui32	00 00 00 00
aP76	ui32	00 00 00 00
aP77	ui32	00 00 00 00
aP78	ui32	00 00 00 00
aP79	ui32	00 00 00 00
aP7a	ui32	00 00 00 00
aP7b	ui32	00 00 00 00
aP7c	ui32	00 00 00 00
aP7d	ui32	00 00 00 00
aP7e	ui32	00 00 00 00
aP7f	ui32	00 00 00 00
aP80	ui32	00 00 00 00
aPMX	ui8 	00
bFRC	ui8 	00
bFRS	ui8 	00
bHLD	ui32	00 00 00 00
bPHD	flag	00
bRIN	ui32	00 00 00 00
bVDN	ui32	00 00 00 00
bVUP	ui32	00 00 00 00
bca0	si32	ec 06 00 00
bcb0	ui8 	00
bcc0	ui8 	00
bcd0	flag	00
bce0	si32	e8 06 00 00
bce4	si32	68 03 00 00
bce8	si32	00 00 00 00
bceF	si32	e8 06 00 00
bceJ	si32	80 03 00 00
bceN	si32	00 00 00 00
bck0	ui8 	00
bcl0	ui32	ff ff 00 00
bdF0	hex_	74 54 00 00
bdF8	hex_	74 54 00 00
bdFF	hex_	74 54 00 00
bdJ0	ui16	4f 00
bdJ8	ui16	58 00
bdJF	ui16	5c 00
bel0	ch8*	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
bem0	ui16	3a 12
bem8	ui16	33 12
bemF	ui16	36 12
ben0	ui16	50 0f
ben8	ui16	50 0f
benF	ui16	50 0f
beo0	ui8 	17
beo8	ui8 	17
beoF	ui8 	17
bep0	ui16	00 10
bep8	ui16	f8 0f
bepF	ui16	f8 0f
beq0	hex_	00 bc 00 3d 00 3c 00 42 00 7a 00 39 00 41 00 44 00 4d 00 57 00 57 00 69 00 a3 01 2a 01 fd 00 00
beq8	hex_	00 c3 00 3e 00 3b 00 4b 00 88 00 45 00 58 00 4b 00 59 00 6b 00 6b 00 71 00 b4 01 67 02 62 00 00
beqF	hex_	00 e1 00 44 00 42 00 4e 00 8a 00 42 00 51 00 51 00 56 00 65 00 6f 00 72 00 9a 01 3d 02 2b 00 00
ber0	ui16	4f 00
ber8	ui16	58 00
berF	ui16	5c 00
bes0	si16	b4 fb
bet0	ioft	cc 4c 20 00 00 00 00 00
beu0	ui16	ef 2f
bey0	ch8*	46 35 44 34 34 31 32 30 30 36 43 31 33 51 47 43 45 00 00 00 00
bez0	ui8 	00
bfA0		
bfB0	ui16	ef 0b
bfC0	ui16	eb 0b
bfG0	hex_	50 05 03
bfH0	hex_	00 00 00 00 00 00 00 00
bfI0	si8 	4d
bfJ0	ui8 	01
bfK0	ui8 	01
bfL0	hex_	00
bfv0	hex_	02 00 00 00
bfx0	ui32	00 00 00 00
bmA0		
bmA8		
bmAF		
bmF0	ui8 	02
bmG0	ui16	35 11
bmH0	ui16	35 11
bmI0	ui16	35 11
bmJ0	ui16	53 11
bmK0	ui16	35 11
bmL0	ui64	00 00 00 00 00 00 00 00
bmN0	ui8 	00
bmQ0	hex_	64 00 96 00 c8 00 fa 00 40 06 ff ff
bmR0	hex_	00 00 00 00 00 00 00 00 00 00 00 00
bmS0	hex_	53 11 49 11 35 11 21 11 17 11 e5 10
bmT0		
bmU0	ui16	35 11
bnN0	flt 	33 33 33 3f
bpx0	hex_	00
btq0	hex_	42
bvu0	ui16	00 00
bvv0	hex_	74 54 00 00
bvw0	ui16	e1 00
bvx0	ui16	44 00
bvy0	ui16	42 00
bvz0	ui16	4e 00
bwA0	ui16	8a 00
bwB0	ui16	42 00
bwC0	ui16	51 00
bwD0	ui16	51 00
bwE0	ui16	56 00
bwF0	ui16	65 00
bwG0	ui16	6f 00
bwH0	ui16	72 00
bwI0	ui16	9a 00
bwJ0	ui16	3d 01
bwK0	ui16	2b 02
bwL0	hex_	c0 00
bwM0	si64	41 7a fc ff ff ff ff ff
bwN0	ui64	37 be 00 00 00 00 00 00
bwO0	ui16	f1 10
bwP0	ui16	f1 10
bwQ0	ui16	00 00
ceMR	flt 	00 00 00 00
ceNn	flt 	00 00 00 00
ceP0	flt 	00 00 00 00
ceP1	flt 	00 00 00 00
cePC	flt 	00 00 00 00
cePD	flt 	00 00 00 00
cePM	flt 	00 00 00 00
cePT	flt 	00 00 00 00
cePa	flt 	00 00 00 00
cePz	flt 	00 00 00 00
ceU0	flt 	00 00 00 00
ceU1	flt 	00 00 00 00
cepm	flt 	00 00 00 00
cmDD	flt 	00 00 00 00
cmPC	flt 	00 00 00 00
cmPS	flt 	00 00 00 00
cmPz	flt 	00 00 00 00
cmQ1	flt 	00 00 16 c4
cmQ3	flt 	00 00 00 00
cmSB	flt 	00 00 00 00
cmT1	si32	02 00 00 00
cmTa	flt 	00 00 c8 42
cmTb	flt 	00 00 c8 42
cmTn	flt 	00 00 c8 42
cmW3	si32	00 00 00 00
csP0	flt 	00 00 00 00
csP1	flt 	00 00 00 00
csPC	flt 	00 00 00 00
csPD	flt 	00 00 00 00
csPM	flt 	00 00 00 00
csPT	flt 	00 00 00 00
csPa	flt 	00 00 00 00
csU0	flt 	00 00 00 00
csU1	flt 	00 00 00 00
eeMM	flt 	00 00 f0 c0
eePm	flt 	00 00 20 c1
f000	flt 	18 b2 20 42
f001	flt 	a0 75 11 42
f002	flt 	30 33 01 42
f003	flt 	00 00 f4 41
f004	flt 	e0 60 0e 42
f00s	flt 	00 00 00 00
f00v	flt 	00 00 7f 43
fSX3	flt 	00 00 00 00
fcB0	flt 	ac 84 9a 42
fdS0	flt 	02 93 be 40
fdS1	flt 	94 3b 94 40
fdS2	flt 	25 c4 8a 40
fdU0	flt 	c7 5a 11 3c
fdd0	flt 	00 00 82 42
fdd1	flt 	00 00 82 42
feMM	flt 	00 00 f0 c0
feTm	flt 	00 00 00 40
fiB0	flt 	7e f9 1f 3f
fpC0	flt 	9e 65 d6 3d
fspz	flt 	93 a6 e4 3e
ft00	flt 	04 a8 1f 42
ft01	flt 	28 59 20 42
ft02	flt 	bc fb 10 42
ft03	flt 	4f 32 01 42
ft04	flt 	05 18 f6 41
ft05	flt 	ba 87 0d 42
ftA0	flt 	66 66 66 c0
ftA1	flt 	66 66 66 c0
ftB0	flt 	91 2f 01 42
ftD0	flt 	e3 b9 6b 42
ftD1	flt 	86 db 65 42
ftE0	flt 	8f 24 6f 42
ftE1	flt 	a3 4a 72 42
ftG0	flt 	eb 88 57 42
ftG1	flt 	90 7a 5c 42
ftG2	flt 	07 64 53 42
ftG3	flt 	4f f4 55 42
ftG4	flt 	f6 89 60 42
ftG5	flt 	be 11 5d 42
ftN0	flt 	01 d2 1d 42
ftP0	flt 	f4 8c 86 42
ftP1	flt 	8a f7 87 42
ftP2	flt 	86 96 82 42
ftP3	flt 	5a 04 84 42
ftP4	flt 	4f 7f 83 42
ftP5	flt 	d4 7d 83 42
ftP6	flt 	e0 f4 80 42
ftP7	flt 	a0 3b 81 42
ftP8	flt 	08 af 7f 42
ftP9	flt 	10 80 80 42
ftPa	flt 	9e 95 78 42
ftPb	flt 	09 6a 7b 42
ftPc	flt 	0a 4a 77 42
ftPd	flt 	17 9f 77 42
ftPe	flt 	08 89 74 42
ftPf	flt 	2b e2 76 42
ftPg	flt 	a4 6c 79 42
ftPh	flt 	8d c4 79 42
ftR0	flt 	00 00 80 40
fts0	flt 	c0 6e 0f 42
fts1	flt 	36 e9 0c 42
fuU0	flt 	00 00 18 42
fuU1	flt 	00 00 18 42
gP00	ui32	00 00 00 00
gP01	ui32	00 00 00 00
gP02	ui32	00 00 00 00
gP03	ui32	00 00 00 00
gP04	ui32	00 00 00 00
gP05	ui32	00 00 00 00
gP06	ui32	00 00 00 00
gP07	ui32	00 00 00 00
gP08	ui32	00 00 00 00
gP09	ui32	00 00 00 00
gP0a	ui32	00 00 00 00
gP0b	ui32	00 00 00 00
gP0c	ui32	00 00 00 00
gP0d	ui32	00 00 00 00
gP0e	ui32	00 00 00 00
gP0f	ui32	00 00 00 00
gP10	ui32	00 00 00 00
gP11	ui32	00 00 00 00
gP12	ui32	00 00 00 00
gP13	ui32	00 00 00 00
gP14	ui32	00 00 00 00
gP15	ui32	00 00 00 00
gP16	ui32	00 00 00 00
gP17	ui32	00 00 00 00
gP18	ui32	00 00 00 00
gP19	ui32	00 00 00 00
gP1a	ui32	00 00 00 00
gp08	ui32	00 00 00 00
gp0b	ui32	00 00 00 00
gp0e	ui32	00 00 00 00
iaFD	flt 	00 00 80 3f
iaQ4	flt 	00 00 00 00
isMR	flt 	00 00 00 00
isNn	flt 	00 00 00 00
isP0	flt 	00 00 00 00
isP1	flt 	00 00 00 00
isPC	flt 	00 00 00 00
isPD	flt 	00 00 00 00
isPM	flt 	00 00 00 00
isPT	flt 	00 00 00 00
isPa	flt 	00 00 00 00
isPz	flt 	00 00 00 00
isU0	flt 	00 00 00 00
isU1	flt 	00 00 00 00
mTPL	si32	00 00 00 00
mUTL	flt 	00 00 00 00
maDD	si32	00 00 00 00
maP0	si32	00 00 00 00
maP1	si32	00 00 00 00
maPC	si32	00 00 00 00
maPD	si32	00 00 00 00
maPM	si32	00 00 00 00
maPT	si32	00 00 00 00
maPa	si32	00 00 00 00
maU0	si32	00 00 00 00
maU1	si32	00 00 00 00
ml00	flt 	00 00 c8 42
mlMm	flt 	8c 2e 98 c2
mlPC	flt 	00 00 70 41
mlT0	flt 	00 00 c8 42
mlT1	flt 	00 00 c8 42
mlTi	flt 	00 00 c8 42
mlTj	flt 	00 00 c8 42
mlTk	flt 	00 00 c8 42
mlTl	flt 	00 00 c8 42
mlmx	flt 	00 00 c8 42
mmMD	si32	00 00 00 00
mmV1	si32	00 00 00 00
mmV2	si32	00 00 00 00
mmV3	si32	00 00 00 00
msP0	flt 	dc 84 b7 42
msP1	flt 	a1 94 b3 42
msP2	flt 	67 c0 b4 42
msU0	flt 	00 00 be 42
mxA0	flt 	01 21 f2 41
mxS0	flt 	c0 6e 0f 42
mxS1	flt 	36 e9 0c 42
mxT0	flt 	00 00 c8 42
nn00	flt 	00 00 00 00
oKI8	flt 	fa ed 6b 3a
oKI9	flt 	fa ed 6b 3a
oKP8	flt 	6c 09 79 3b
oKP9	flt 	6c 09 79 3b
oRT1	flt 	0a d7 14 42
oTC0	flt 	00 00 c0 41
ocex	flt 	00 00 c8 42
ocey	flt 	00 00 c8 42
odmn	flt 	00 00 00 40
odmx	flt 	00 00 48 42
of00	flt 	00 00 a0 40
of01	flt 	00 00 a0 41
of10	flt 	00 00 00 00
of11	flt 	00 00 a0 40
of12	flt 	00 00 f0 41
of88	flt 	00 00 70 41
ofE0	flt 	00 00 10 42
ofE1	flt 	00 00 00 00
